DATAFLOW,FREQ,REF_AREA,DATA_TYPE,MEASURE,SEX,AGE,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS_B,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_MEASURE,NOTE_SEX,NOTE_AGE,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS_B,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,HSC,9,Y60-64,99,99,2023,7.5,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,HSC,9,Y65-74,99,99,2023,8.4,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y_GE14,99,99,2023,1942,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y_GE75,99,99,2023,246,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y14-17,99,99,2023,80,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y18-19,99,99,2023,50,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y20-24,99,99,2023,115,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y25-34,99,99,2023,233,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y35-44,99,99,2023,221,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y45-54,99,99,2023,377,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y55-59,99,99,2023,191,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y60-64,99,99,2023,175,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,1,Y65-74,99,99,2023,253,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y_GE14,99,99,2023,2005,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y_GE75,99,99,2023,294,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y14-17,99,99,2023,71,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y18-19,99,99,2023,53,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y20-24,99,99,2023,85,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y25-34,99,99,2023,214,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y35-44,99,99,2023,296,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y45-54,99,99,2023,360,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y55-59,99,99,2023,172,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y60-64,99,99,2023,133,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,2,Y65-74,99,99,2023,328,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y_GE14,99,99,2023,3947,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y_GE75,99,99,2023,541,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y14-17,99,99,2023,151,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y18-19,99,99,2023,103,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y20-24,99,99,2023,200,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y25-34,99,99,2023,447,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y35-44,99,99,2023,517,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y45-54,99,99,2023,737,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y55-59,99,99,2023,363,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y60-64,99,99,2023,308,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNAL,THV,9,Y65-74,99,99,2023,581,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y_GE14,99,99,2023,14.2,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y_GE75,99,99,2023,13.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y14-17,99,99,2023,15.1,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y18-19,99,99,2023,15.7,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y20-24,99,99,2023,12,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y25-34,99,99,2023,17.1,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y35-44,99,99,2023,15.3,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y45-54,99,99,2023,13.4,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y55-59,99,99,2023,13.9,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y60-64,99,99,2023,13,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,1,Y65-74,99,99,2023,12.8,,,,,,,,,,,,,
IT1:83_63_DF_DCCV_AVQ_PERSONE_123(1.0),A,IT,14_WALLET_NEIGHBNM,HSC,2,Y_GE14,99,99,2023,14,,,,,,,,,,,,,
